task_id,domain,criteria,dependent_criteria,dependency_edges,primary_criteria,max_descendants,max_reach_criterion,max_structural_exposure_pp,attachment_count
13,Legal,10,5,5,10,4,3,50.0,5
845,Legal,8,5,6,7,3,3,50.0,4
942,Legal,7,2,5,6,2,2,42.857142857142854,1
1022,Legal,16,8,14,4,6,5,43.75,4
1031,Legal,8,3,3,8,1,1,25.0,6
1041,Legal,13,5,6,11,4,9,38.46153846153846,2
1078,Legal,6,1,3,6,1,1,33.333333333333336,6
1148,Legal,7,4,4,1,2,1,42.857142857142854,2
1167,Legal,6,2,3,5,1,1,33.333333333333336,1
1184,Legal,8,3,7,8,2,1,37.5,5
1189,Legal,10,3,9,5,2,5,30.0,1
1226,Legal,12,0,0,10,0,1,8.333333333333334,8
1230,Legal,8,0,0,8,0,1,12.5,3
1246,Legal,7,2,3,7,1,1,28.571428571428573,8
1318,Legal,6,1,5,6,1,1,33.333333333333336,1
1319,Legal,12,0,0,9,0,1,8.333333333333334,1
1323,Legal,14,4,15,5,3,1,28.571428571428573,1
1346,Legal,11,1,10,6,1,1,18.181818181818183,1
1361,Legal,12,6,12,6,6,1,58.333333333333336,1
1366,Legal,8,3,3,7,3,5,50.0,9
1367,Legal,17,9,12,13,5,7,35.294117647058826,1
1371,Legal,15,6,21,7,6,6,46.666666666666664,5
1382,Legal,8,3,5,8,3,2,50.0,1
1398,Legal,9,1,2,6,1,6,22.22222222222222,2
1757,Legal,9,5,5,9,5,3,66.66666666666667,2
1155,Medicine,9,4,5,8,3,5,44.44444444444444,1
1340,Medicine,12,7,8,6,3,5,33.333333333333336,1
1344,Medicine,12,7,11,6,6,1,58.333333333333336,1
1345,Medicine,22,11,23,16,7,4,36.36363636363637,1
1352,Medicine,14,8,13,9,6,4,50.0,1
1368,Medicine,15,13,18,15,8,1,60.0,1
1354,Medicine,18,12,19,9,7,2,44.44444444444444,1
1389,Medicine,17,8,14,17,5,1,35.294117647058826,1
1359,Medicine,22,15,25,19,15,21,72.72727272727273,2
1407,Medicine,14,10,14,12,6,1,50.0,1
1415,Medicine,16,4,15,16,4,1,31.25,1
1426,Medicine,14,4,13,14,3,9,28.571428571428573,1
1431,Medicine,17,9,21,17,5,1,35.294117647058826,1
1436,Medicine,11,4,10,11,3,5,36.36363636363637,1
1439,Medicine,25,16,25,23,14,1,60.0,1
1452,Medicine,9,3,7,8,3,6,44.44444444444444,1
1476,Medicine,22,10,20,22,5,2,27.272727272727273,1
1477,Medicine,25,17,24,17,15,1,64.0,1
1481,Medicine,21,17,28,19,17,2,85.71428571428571,2
1494,Medicine,19,13,13,18,5,9,31.57894736842105,1
1495,Medicine,20,14,18,13,12,20,65.0,1
1501,Medicine,16,13,16,11,13,2,87.5,1
1508,Medicine,9,6,11,9,5,1,66.66666666666667,1
1513,Medicine,17,5,13,14,5,10,35.294117647058826,1
1555,Medicine,23,8,22,20,7,8,34.78260869565217,1
145,Consulting,7,1,3,6,1,2,28.571428571428573,1
283,Consulting,14,5,31,5,5,1,42.857142857142854,1
352,Consulting,11,7,8,7,4,4,45.45454545454545,1
772,Consulting,10,5,6,8,2,2,30.0,1
804,Consulting,7,3,6,6,3,1,57.142857142857146,1
828,Consulting,7,2,4,6,2,3,42.857142857142854,1
1080,Consulting,9,4,4,8,1,2,22.22222222222222,1
1091,Consulting,7,3,4,6,2,2,42.857142857142854,1
1122,Consulting,7,1,1,6,1,5,28.571428571428573,1
1150,Consulting,10,4,8,8,4,1,50.0,1
1149,Consulting,7,1,2,5,1,6,28.571428571428573,1
1166,Consulting,6,3,3,5,2,1,50.0,1
1169,Consulting,10,6,7,8,6,7,70.0,3
1170,Consulting,13,6,10,9,2,5,23.076923076923077,1
1171,Consulting,12,4,9,11,4,1,41.666666666666664,1
1172,Consulting,6,3,3,5,3,1,66.66666666666667,1
1384,Consulting,8,2,2,7,1,1,25.0,1
1188,Consulting,9,5,8,7,4,1,55.55555555555556,1
1191,Consulting,16,9,30,10,9,1,62.5,3
1192,Consulting,14,10,24,12,6,2,50.0,1
1242,Consulting,13,8,19,9,8,1,69.23076923076923,1
1259,Consulting,9,4,4,5,1,1,22.22222222222222,1
1265,Consulting,13,7,11,11,4,1,38.46153846153846,1
1269,Consulting,8,3,5,6,3,4,50.0,1
1288,Consulting,9,5,8,5,2,1,33.333333333333336,1
1588,Finance,10,0,0,4,0,1,10.0,1
2107,Finance,15,10,22,5,10,1,73.33333333333333,1
2108,Finance,6,5,7,3,5,1,100.0,1
2120,Finance,9,3,8,3,2,2,33.333333333333336,2
2121,Finance,5,0,0,2,0,1,20.0,1
2145,Finance,10,5,11,2,3,2,40.0,2
2157,Finance,7,4,7,2,4,2,71.42857142857143,1
2186,Finance,5,1,4,4,1,1,40.0,1
2192,Finance,5,3,4,2,3,2,80.0,1
2205,Finance,6,4,5,2,3,1,66.66666666666667,1
2217,Finance,10,8,9,2,8,1,90.0,3
2228,Finance,5,2,2,1,2,1,60.0,1
2230,Finance,8,5,10,4,5,1,75.0,1
2232,Finance,10,6,9,4,6,1,70.0,1
2261,Finance,10,6,9,3,5,1,60.0,2
2266,Finance,5,1,1,1,1,2,40.0,1
2269,Finance,13,6,9,4,2,1,23.076923076923077,1
2287,Finance,11,0,0,2,0,1,9.090909090909092,1
2288,Finance,12,10,11,7,10,1,91.66666666666667,3
2294,Finance,16,12,16,7,9,3,62.5,1
2302,Finance,10,6,6,2,6,4,70.0,2
2308,Finance,13,4,5,5,2,4,23.076923076923077,1
2315,Finance,10,0,0,4,0,1,10.0,1
2317,Finance,10,3,3,3,3,7,40.0,5
2333,Finance,11,6,11,2,4,4,45.45454545454545,3
