model,task_id,language,valid,errors,false_accepts,negative_valid,false_rejects,positive_valid,unstable_cells,cells,repeat_disagreement,error_rate,content_count,content_pairs,content_rate,paraphrase_count,paraphrase_pairs,paraphrase_rate,grading_language_count,grading_language_pairs,grading_language_rate
qwen3:4b,1122,en,24,0,0,12,0,12,0,8,0.0,0.0,4,4,1.0,0,4,0.0,0,4,0.0
qwen3:4b,145,en,24,0,0,12,0,12,0,8,0.0,0.0,4,4,1.0,0,4,0.0,0,4,0.0
qwen3:4b,2287,en,96,0,0,48,0,48,0,32,0.0,0.0,16,16,1.0,0,16,0.0,0,16,0.0
qwen3:4b,equal_task_macro,en,144,0,0,72,0,72,0,48,0.0,0.0,24,24,1.0,0,24,0.0,0,24,0.0
qwen3:4b,1122,es,24,0,0,12,0,12,0,8,0.0,0.0,4,4,1.0,0,4,0.0,0,4,0.0
qwen3:4b,145,es,24,0,0,12,0,12,0,8,0.0,0.0,4,4,1.0,0,4,0.0,0,4,0.0
qwen3:4b,2287,es,96,0,0,48,0,48,0,32,0.0,0.0,16,16,1.0,0,16,0.0,0,16,0.0
qwen3:4b,equal_task_macro,es,144,0,0,72,0,72,0,48,0.0,0.0,24,24,1.0,0,24,0.0,0,24,0.0
gemma3:4b,1122,en,24,9,9,12,0,12,0,8,0.0,0.375,1,4,0.25,1,4,0.25,1,4,0.25
gemma3:4b,145,en,24,12,12,12,0,12,0,8,0.0,0.5,0,4,0.0,0,4,0.0,0,4,0.0
gemma3:4b,2287,en,96,6,6,48,0,48,0,32,0.0,0.0625,14,16,0.875,0,16,0.0,2,16,0.125
gemma3:4b,equal_task_macro,en,144,27,27,72,0,72,0,48,0.0,0.3125,15,24,0.375,1,24,0.08333333333333333,3,24,0.125
gemma3:4b,1122,es,24,12,12,12,0,12,0,8,0.0,0.5,0,4,0.0,0,4,0.0,0,4,0.0
gemma3:4b,145,es,24,12,12,12,0,12,0,8,0.0,0.5,0,4,0.0,0,4,0.0,0,4,0.0
gemma3:4b,2287,es,96,6,6,48,0,48,0,32,0.0,0.0625,14,16,0.875,0,16,0.0,2,16,0.125
gemma3:4b,equal_task_macro,es,144,30,30,72,0,72,0,48,0.0,0.3541666666666667,14,24,0.2916666666666667,0,24,0.0,2,24,0.041666666666666664
