model,experiment,language,false_accepts,negative_valid,false_rejects,positive_valid,false_accept_rate,false_reject_rate,valid,planned
qwen3:1.7b,matched_response,en,3,6,12,48,0.5,0.25,54,54
qwen3:1.7b,matched_response,es,3,6,6,48,0.5,0.125,54,54
qwen3:1.7b,numeric_probe,en,12,21,0,33,0.5714285714285714,0.0,54,54
qwen3:1.7b,numeric_probe,es,12,21,0,33,0.5714285714285714,0.0,54,54
qwen3:1.7b,numeric_probe,pt,15,21,0,33,0.7142857142857143,0.0,54,54
qwen3:4b,matched_response,en,0,6,0,48,0.0,0.0,54,54
qwen3:4b,matched_response,es,0,6,0,48,0.0,0.0,54,54
qwen3:4b,numeric_probe,en,9,21,3,33,0.42857142857142855,0.09090909090909091,54,54
qwen3:4b,numeric_probe,es,9,21,2,33,0.42857142857142855,0.06060606060606061,54,54
qwen3:4b,numeric_probe,pt,6,21,0,33,0.2857142857142857,0.0,54,54
qwen3:8b,matched_response,en,0,6,0,48,0.0,0.0,54,54
qwen3:8b,matched_response,es,0,6,0,48,0.0,0.0,54,54
qwen3:8b,numeric_probe,en,0,21,12,33,0.0,0.36363636363636365,54,54
qwen3:8b,numeric_probe,es,0,21,12,33,0.0,0.36363636363636365,54,54
qwen3:8b,numeric_probe,pt,0,21,15,33,0.0,0.45454545454545453,54,54
gemma3:4b,matched_response,en,6,6,0,48,1.0,0.0,54,54
gemma3:4b,matched_response,es,6,6,0,48,1.0,0.0,54,54
gemma3:4b,numeric_probe,en,9,21,3,33,0.42857142857142855,0.09090909090909091,54,54
gemma3:4b,numeric_probe,es,9,21,9,33,0.42857142857142855,0.2727272727272727,54,54
gemma3:4b,numeric_probe,pt,6,21,12,33,0.2857142857142857,0.36363636363636365,54,54
