model,stimulus_id,task_id,variant,language,arm,expected,planned,valid,passes,errors,majority
qwen3:4b,1122-c1-above,1122,above,en,clarified,0,3,3,0,0,0
qwen3:4b,1122-c1-above,1122,above,en,original,0,3,3,0,0,0
qwen3:4b,1122-c1-above,1122,above,es,clarified,0,3,3,0,0,0
qwen3:4b,1122-c1-above,1122,above,es,original,0,3,3,0,0,0
qwen3:4b,1122-c1-below,1122,below,en,clarified,0,3,3,0,0,0
qwen3:4b,1122-c1-below,1122,below,en,original,0,3,3,0,0,0
qwen3:4b,1122-c1-below,1122,below,es,clarified,0,3,3,0,0,0
qwen3:4b,1122-c1-below,1122,below,es,original,0,3,3,0,0,0
qwen3:4b,1122-c1-lower_edge,1122,lower_edge,en,clarified,1,3,3,0,3,0
qwen3:4b,1122-c1-lower_edge,1122,lower_edge,en,original,1,3,3,0,3,0
qwen3:4b,1122-c1-lower_edge,1122,lower_edge,es,clarified,1,3,3,0,3,0
qwen3:4b,1122-c1-lower_edge,1122,lower_edge,es,original,1,3,3,0,3,0
qwen3:4b,1122-c1-nominal,1122,nominal,en,clarified,1,3,3,3,0,1
qwen3:4b,1122-c1-nominal,1122,nominal,en,original,1,3,3,3,0,1
qwen3:4b,1122-c1-nominal,1122,nominal,es,clarified,1,3,3,3,0,1
qwen3:4b,1122-c1-nominal,1122,nominal,es,original,1,3,3,3,0,1
qwen3:4b,1122-c1-upper_edge,1122,upper_edge,en,clarified,1,3,3,0,3,0
qwen3:4b,1122-c1-upper_edge,1122,upper_edge,en,original,1,3,3,0,3,0
qwen3:4b,1122-c1-upper_edge,1122,upper_edge,es,clarified,1,3,3,0,3,0
qwen3:4b,1122-c1-upper_edge,1122,upper_edge,es,original,1,3,3,0,3,0
qwen3:4b,145-c2-above,145,above,en,clarified,0,3,3,0,0,0
qwen3:4b,145-c2-above,145,above,en,original,0,3,3,0,0,0
qwen3:4b,145-c2-above,145,above,es,clarified,0,3,3,0,0,0
qwen3:4b,145-c2-above,145,above,es,original,0,3,3,0,0,0
qwen3:4b,145-c2-below,145,below,en,clarified,0,3,3,0,0,0
qwen3:4b,145-c2-below,145,below,en,original,0,3,3,0,0,0
qwen3:4b,145-c2-below,145,below,es,clarified,0,3,3,0,0,0
qwen3:4b,145-c2-below,145,below,es,original,0,3,3,0,0,0
qwen3:4b,145-c2-lower_edge,145,lower_edge,en,clarified,1,3,3,3,0,1
qwen3:4b,145-c2-lower_edge,145,lower_edge,en,original,1,3,3,3,0,1
qwen3:4b,145-c2-lower_edge,145,lower_edge,es,clarified,1,3,3,3,0,1
qwen3:4b,145-c2-lower_edge,145,lower_edge,es,original,1,3,3,3,0,1
qwen3:4b,145-c2-nominal,145,nominal,en,clarified,1,3,3,3,0,1
qwen3:4b,145-c2-nominal,145,nominal,en,original,1,3,3,3,0,1
qwen3:4b,145-c2-nominal,145,nominal,es,clarified,1,3,3,3,0,1
qwen3:4b,145-c2-nominal,145,nominal,es,original,1,3,3,3,0,1
qwen3:4b,145-c2-upper_edge,145,upper_edge,en,clarified,1,3,3,3,0,1
qwen3:4b,145-c2-upper_edge,145,upper_edge,en,original,1,3,3,3,0,1
qwen3:4b,145-c2-upper_edge,145,upper_edge,es,clarified,1,3,3,3,0,1
qwen3:4b,145-c2-upper_edge,145,upper_edge,es,original,1,3,3,3,0,1
qwen3:4b,2205-c1-above,2205,above,en,clarified,0,3,3,0,0,0
qwen3:4b,2205-c1-above,2205,above,en,original,0,3,3,3,3,1
qwen3:4b,2205-c1-above,2205,above,es,clarified,0,3,3,3,3,1
qwen3:4b,2205-c1-above,2205,above,es,original,0,3,3,3,3,1
qwen3:4b,2205-c1-below,2205,below,en,clarified,0,3,3,3,3,1
qwen3:4b,2205-c1-below,2205,below,en,original,0,3,3,3,3,1
qwen3:4b,2205-c1-below,2205,below,es,clarified,0,3,3,3,3,1
qwen3:4b,2205-c1-below,2205,below,es,original,0,3,3,3,3,1
qwen3:4b,2205-c1-lower_edge,2205,lower_edge,en,clarified,1,3,3,3,0,1
qwen3:4b,2205-c1-lower_edge,2205,lower_edge,en,original,1,3,3,3,0,1
qwen3:4b,2205-c1-lower_edge,2205,lower_edge,es,clarified,1,3,3,3,0,1
qwen3:4b,2205-c1-lower_edge,2205,lower_edge,es,original,1,3,3,3,0,1
qwen3:4b,2205-c1-nominal,2205,nominal,en,clarified,1,3,3,3,0,1
qwen3:4b,2205-c1-nominal,2205,nominal,en,original,1,3,3,3,0,1
qwen3:4b,2205-c1-nominal,2205,nominal,es,clarified,1,3,3,3,0,1
qwen3:4b,2205-c1-nominal,2205,nominal,es,original,1,3,3,3,0,1
qwen3:4b,2205-c1-upper_edge,2205,upper_edge,en,clarified,1,3,3,3,0,1
qwen3:4b,2205-c1-upper_edge,2205,upper_edge,en,original,1,3,3,3,0,1
qwen3:4b,2205-c1-upper_edge,2205,upper_edge,es,clarified,1,3,3,3,0,1
qwen3:4b,2205-c1-upper_edge,2205,upper_edge,es,original,1,3,3,3,0,1
gemma3:4b,1122-c1-above,1122,above,en,clarified,0,3,3,0,0,0
gemma3:4b,1122-c1-above,1122,above,en,original,0,3,3,0,0,0
gemma3:4b,1122-c1-above,1122,above,es,clarified,0,3,3,0,0,0
gemma3:4b,1122-c1-above,1122,above,es,original,0,3,3,0,0,0
gemma3:4b,1122-c1-below,1122,below,en,clarified,0,3,3,3,3,1
gemma3:4b,1122-c1-below,1122,below,en,original,0,3,3,3,3,1
gemma3:4b,1122-c1-below,1122,below,es,clarified,0,3,3,3,3,1
gemma3:4b,1122-c1-below,1122,below,es,original,0,3,3,3,3,1
gemma3:4b,1122-c1-lower_edge,1122,lower_edge,en,clarified,1,3,3,3,0,1
gemma3:4b,1122-c1-lower_edge,1122,lower_edge,en,original,1,3,3,3,0,1
gemma3:4b,1122-c1-lower_edge,1122,lower_edge,es,clarified,1,3,3,3,0,1
gemma3:4b,1122-c1-lower_edge,1122,lower_edge,es,original,1,3,3,3,0,1
gemma3:4b,1122-c1-nominal,1122,nominal,en,clarified,1,3,3,3,0,1
gemma3:4b,1122-c1-nominal,1122,nominal,en,original,1,3,3,3,0,1
gemma3:4b,1122-c1-nominal,1122,nominal,es,clarified,1,3,3,3,0,1
gemma3:4b,1122-c1-nominal,1122,nominal,es,original,1,3,3,3,0,1
gemma3:4b,1122-c1-upper_edge,1122,upper_edge,en,clarified,1,3,3,3,0,1
gemma3:4b,1122-c1-upper_edge,1122,upper_edge,en,original,1,3,3,3,0,1
gemma3:4b,1122-c1-upper_edge,1122,upper_edge,es,clarified,1,3,3,3,0,1
gemma3:4b,1122-c1-upper_edge,1122,upper_edge,es,original,1,3,3,3,0,1
gemma3:4b,145-c2-above,145,above,en,clarified,0,3,3,3,3,1
gemma3:4b,145-c2-above,145,above,en,original,0,3,3,3,3,1
gemma3:4b,145-c2-above,145,above,es,clarified,0,3,3,3,3,1
gemma3:4b,145-c2-above,145,above,es,original,0,3,3,3,3,1
gemma3:4b,145-c2-below,145,below,en,clarified,0,3,3,3,3,1
gemma3:4b,145-c2-below,145,below,en,original,0,3,3,3,3,1
gemma3:4b,145-c2-below,145,below,es,clarified,0,3,3,0,0,0
gemma3:4b,145-c2-below,145,below,es,original,0,3,3,0,0,0
gemma3:4b,145-c2-lower_edge,145,lower_edge,en,clarified,1,3,3,3,0,1
gemma3:4b,145-c2-lower_edge,145,lower_edge,en,original,1,3,3,3,0,1
gemma3:4b,145-c2-lower_edge,145,lower_edge,es,clarified,1,3,3,3,0,1
gemma3:4b,145-c2-lower_edge,145,lower_edge,es,original,1,3,3,3,0,1
gemma3:4b,145-c2-nominal,145,nominal,en,clarified,1,3,3,3,0,1
gemma3:4b,145-c2-nominal,145,nominal,en,original,1,3,3,3,0,1
gemma3:4b,145-c2-nominal,145,nominal,es,clarified,1,3,3,3,0,1
