model,task_id,arm,language,valid,planned,errors,error_rate,false_accepts,negative_valid,false_rejects,positive_valid
qwen3:4b,all,original,en,45,45,12,0.26666666666666666,6,18,6,27
qwen3:4b,all,original,es,45,45,12,0.26666666666666666,6,18,6,27
qwen3:4b,all,clarified,en,45,45,9,0.2,3,18,6,27
qwen3:4b,all,clarified,es,45,45,12,0.26666666666666666,6,18,6,27
qwen3:4b,1122,original,en,15,15,6,0.4,0,6,6,9
qwen3:4b,1122,original,es,15,15,6,0.4,0,6,6,9
qwen3:4b,1122,clarified,en,15,15,6,0.4,0,6,6,9
qwen3:4b,1122,clarified,es,15,15,6,0.4,0,6,6,9
qwen3:4b,145,original,en,15,15,0,0.0,0,6,0,9
qwen3:4b,145,original,es,15,15,0,0.0,0,6,0,9
qwen3:4b,145,clarified,en,15,15,0,0.0,0,6,0,9
qwen3:4b,145,clarified,es,15,15,0,0.0,0,6,0,9
qwen3:4b,2205,original,en,15,15,6,0.4,6,6,0,9
qwen3:4b,2205,original,es,15,15,6,0.4,6,6,0,9
qwen3:4b,2205,clarified,en,15,15,3,0.2,3,6,0,9
qwen3:4b,2205,clarified,es,15,15,6,0.4,6,6,0,9
gemma3:4b,all,original,en,45,45,15,0.3333333333333333,9,18,6,27
gemma3:4b,all,original,es,45,45,12,0.26666666666666666,6,18,6,27
gemma3:4b,all,clarified,en,45,45,15,0.3333333333333333,9,18,6,27
gemma3:4b,all,clarified,es,45,45,12,0.26666666666666666,6,18,6,27
gemma3:4b,1122,original,en,15,15,3,0.2,3,6,0,9
gemma3:4b,1122,original,es,15,15,3,0.2,3,6,0,9
gemma3:4b,1122,clarified,en,15,15,3,0.2,3,6,0,9
gemma3:4b,1122,clarified,es,15,15,3,0.2,3,6,0,9
gemma3:4b,145,original,en,15,15,6,0.4,6,6,0,9
gemma3:4b,145,original,es,15,15,3,0.2,3,6,0,9
gemma3:4b,145,clarified,en,15,15,6,0.4,6,6,0,9
gemma3:4b,145,clarified,es,15,15,3,0.2,3,6,0,9
gemma3:4b,2205,original,en,15,15,6,0.4,0,6,6,9
gemma3:4b,2205,original,es,15,15,6,0.4,0,6,6,9
gemma3:4b,2205,clarified,en,15,15,6,0.4,0,6,6,9
gemma3:4b,2205,clarified,es,15,15,6,0.4,0,6,6,9
