date,cpng_close,spy_close
2024-01-02,15.73,472.65
2024-01-03,15.48,468.79
2024-01-04,15.55,467.28
2024-01-05,15.74,467.92
2024-01-08,16.0,474.6
2024-01-09,16.18,473.88
2024-01-10,16.36,476.56
2024-01-11,16.53,476.35
2024-01-12,16.75,476.68
2024-01-16,15.34,474.93
2024-01-17,14.97,472.29
2024-01-18,14.91,476.49
2024-01-19,14.94,482.43
2024-01-22,14.84,483.45
2024-01-23,14.79,484.86
2024-01-24,14.65,485.39
2024-01-25,14.52,488.03
2024-01-26,14.53,487.41
2024-01-29,14.53,491.27
2024-01-30,14.39,490.89
2024-01-31,14.0,482.88
2024-02-01,13.91,489.2
2024-02-02,14.2,494.35
2024-02-05,13.84,492.55
2024-02-06,14.04,493.98
2024-02-07,14.37,498.1
2024-02-08,14.5,498.32
2024-02-09,14.46,501.2
2024-02-12,15.0,500.98
2024-02-13,14.61,494.08
2024-02-14,15.1,498.57
2024-02-15,15.76,502.01
2024-02-16,15.7,499.51
2024-02-20,15.67,496.76
2024-02-21,15.88,497.21
2024-02-22,16.24,507.5
2024-02-23,16.4,507.85
2024-02-26,16.39,505.99
2024-02-27,16.89,506.93
2024-02-28,18.24,506.26
2024-02-29,18.52,508.08
2024-03-01,18.95,512.85
2024-03-04,18.85,512.3
2024-03-05,18.79,507.18
2024-03-06,18.96,509.75
2024-03-07,18.37,514.81
2024-03-08,18.34,511.72
2024-03-11,18.53,511.28
2024-03-12,19.38,516.78
2024-03-13,19.62,515.97
2024-03-14,18.51,514.95
2024-03-15,18.13,509.83
2024-03-18,18.23,512.86
2024-03-19,18.09,515.71
2024-03-20,18.55,520.48
2024-03-21,18.42,522.2
2024-03-22,17.57,521.21
2024-03-25,17.6,519.77
2024-03-26,17.6,518.81
2024-03-27,17.61,523.17
2024-03-28,17.79,523.07
2024-04-01,18.2,522.16
2024-04-02,18.23,518.84
2024-04-03,18.29,519.41
2024-04-04,18.32,513.07
2024-04-05,18.24,518.43
2024-04-08,18.43,518.72
2024-04-09,19.02,519.32
2024-04-10,19.12,514.12
2024-04-11,19.06,518.0
2024-04-12,21.25,510.85
2024-04-15,21.65,504.45
